id;email;password;first_name;first_name_en;first_name_ru;last_name;last_name_en;last_name_ru;about;about_en;about_ru;phone;experience;diploma;photo
100;AlexandrRozenbaum@mail.ru;Letmein-4321;Alexandr;Alexandr;Александр;Rozenbaum;Rozenbaum;Розенбаум;I remember my father and mother taught me a long time ago;I remember my father and mother taught me a long time ago;Я помню давно учили меня отец мой и мать;79 111 111 111;2000;#123123 15.07.2020;media\rosen.png
101;Andrey EvgenievichBykov@mail.ru;Letmein-4321;Andrey Evgenievich;Andrey Evgenievich;Андрей Евгеньевич;Bykov;Bykov;Быков;Clinical idiots should stay in groups;Clinical idiots should stay in groups;Клинические идиоты должны держаться группами;79 111 111 112;2001;#123123 15.07.2020;media\bykov.jpg
102;DoctorHouse@mail.ru;Letmein-4321;Doctor;Doctor;Доктор;House;House;Хаус;Everyone lies;Everyone lies;Все врут;79 111 111 113;2002;#123123 15.07.2020;media\house.jpg
103;DoctorRoss@mail.ru;Letmein-4321;Doctor;Doctor;Доктор;Ross;Ross;Росс;"Before this film, famous throughout America, he still did not represent anything serious, his creative career was almost at zero. He floundered in the swamp of relative acting failures, but did not give up. However, George always had enough spirit and will. He patiently, with enviable tenacity, waited for his finest hour. And soon Fortune smiled broadly at him with a Hollywood smile. The ambulance came to the aid of the novice actor, which literally pulled him onto the road of fame and popularity.

The plot of the famous series is quite original. For the first time, with almost documentary accuracy (albeit in an artistic form), the everyday life of the emergency room staff, dramatic situations and events taking place in the lives of doctors and nurses are shown. And unexpectedly for many Americans, the film raised sharp, exciting social problems. Dr. Doug Ross, brilliantly played by George Clooney, fell in love with millions of spectators. Women, mostly housewives and young students, were simply delighted with the image of an interesting and sexy doctor. And every television evening spent with its hero only added to the glory of George Clooney.";"Before this film, famous throughout America, he still did not represent anything serious, his creative career was almost at zero. He floundered in the swamp of relative acting failures, but did not give up. However, George always had enough spirit and will. He patiently, with enviable tenacity, waited for his finest hour. And soon Fortune smiled broadly at him with a Hollywood smile. The ambulance came to the aid of the novice actor, which literally pulled him onto the road of fame and popularity.

The plot of the famous series is quite original. For the first time, with almost documentary accuracy (albeit in an artistic form), the everyday life of the emergency room staff, dramatic situations and events taking place in the lives of doctors and nurses are shown. And unexpectedly for many Americans, the film raised sharp, exciting social problems. Dr. Doug Ross, brilliantly played by George Clooney, fell in love with millions of spectators. Women, mostly housewives and young students, were simply delighted with the image of an interesting and sexy doctor. And every television evening spent with its hero only added to the glory of George Clooney.";"До этого знаменитого на всю Америку фильма он еще не представлял собой ничего серьезного, его творческая карьера была почти на нуле. Он барахтался в болоте относительных актерских неудач, но не сдавался. Однако духу и воли Джорджу всегда хватало. Он терпеливо, с завидным упорством ждал своего звездного часа. И вскоре Фортуна широко улыбнулась ему голливудской улыбкой. На подмогу начинающему актеру пришла «Скорая помощь», которая в прямом смысле слова вытащила его на дорогу славы и популярности.

Сюжет известного сериала довольно оригинален. Впервые с почти документальной точностью (правда, в художественной форме) показываются будни сотрудников приемного покоя, драматические ситуации и события, происходящие в жизни врачей, медсестер. И неожиданно для многих американцев в фильме были подняты острые, волнующие всех социальные проблемы. Доктор Даг Росс, блистательно сыгранный Джорджем Клуни, полюбился миллионам зрительниц. Женщины, преимущественно домохозяйки и молоденькие студентки, были просто в восторге от образа интересного и сексуального доктора. И каждый проведенный телевизионный вечер со своим героем только прибавлял славы Джорджу Клуни.";79 111 111 114;2003;#123123 15.07.2020;media\cloony.jpeg
104;JohnDorian@mail.ru;Letmein-4321;John;John;Джон;Dorian;Dorian;Дориан;"Jonathan Michael ""J.D."" Dorian is a character in the American comedy-drama Scrubs, played by Zach Braff. For his performance on the show, Braff was nominated for an Emmy Award in 2005 and was nominated for three consecutive Golden Globe Awards in 2005, 2006 and 2007. JD is the narrator and main character of the series (until episode 5 of season 9). His voice is heard off-screen in the vast majority of the episodes, the voice setting out his inner thoughts and the general setting of the series, and often tying the thematic story in each episode.

The hero got his name and character largely thanks to a friend of the creator of the series Bill Lawrence - Dr. Jonathan Doris, a doctor at one of the medical centers in Los Angeles. Dr. Doris also became one of the series' consultants[1]. JD appears in every episode of ""Scrubs"" with the exception of two episodes of season 8: ""My Absence"" (in which he only communicated via cell phone), and ""My Full Moon"", episodes 6-8 and 10-13 episodes 9 season.";"Jonathan Michael ""J.D."" Dorian is a character in the American comedy-drama Scrubs, played by Zach Braff. For his performance on the show, Braff was nominated for an Emmy Award in 2005 and was nominated for three consecutive Golden Globe Awards in 2005, 2006 and 2007. JD is the narrator and main character of the series (until episode 5 of season 9). His voice is heard off-screen in the vast majority of the episodes, the voice setting out his inner thoughts and the general setting of the series, and often tying the thematic story in each episode.

The hero got his name and character largely thanks to a friend of the creator of the series Bill Lawrence - Dr. Jonathan Doris, a doctor at one of the medical centers in Los Angeles. Dr. Doris also became one of the series' consultants[1]. JD appears in every episode of ""Scrubs"" with the exception of two episodes of season 8: ""My Absence"" (in which he only communicated via cell phone), and ""My Full Moon"", episodes 6-8 and 10-13 episodes 9 season.";"Джонатан Майкл «Джей Ди» Дориан — персонаж американской комедии-драмы «Клиника», которого играет Зак Брафф. За свою роль в сериале Брафф был номинирован на премию «Эмми» в 2005 году и три раза подряд номинировался на премию «Золотой Глобус» в 2005, 2006 и 2007 годах. Джей Ди является рассказчиком и главным героем серии (до 5 серии 9 сезона). Его голос звучит за кадром в подавляющем большинстве серий, голос излагает его внутренние мысли и общую обстановку в сериале и часто связывает тематическую историю в каждом эпизоде.

Свое имя и характер герой получил во многом благодаря другу создателя сериала Билла Лоуренса — доктора Джонатана Дориса, врача одного из медицинских центров Лос-Анджелеса. Доктор Дорис стал также одним из консультантов сериала[1]. Джей Ди появляется в каждом эпизоде «Клиники», за исключением двух эпизодов 8-го сезона: «Моё отсутствие» (в котором он общался только через сотовый телефон), и «Моя полная луна», 6-8 и 10-13 эпизодов 9 сезона.";79 111 111 115;2004;#123123 15.07.2020;media\scrubs.jpg
105;DoctorDoctorov@mail.ru;Letmein-4321;Doctor;Doctor;Доктор;Doctorov;Doctorov;Докторов;Text;Text;Текст;79 111 111 116;2005;#123123 15.07.2020;media\doctor-full.jpg
106;VrachVrachev@mail.ru;Letmein-4321;Vrach;Vrach;Врач;Vrachev;Vrachev;Врачев;Text;Text;Текст;79 111 111 117;2006;#123123 15.07.2020;media\doctor-full.jpg
107;IvanIvanov@mail.ru;Letmein-4321;Ivan;Ivan;Иван;Ivanov;Ivanov;Иванов;Text;Text;Текст;79 111 111 118;2007;#123123 15.07.2020;media\doctor-full.jpg
108;PetrPetrov@mail.ru;Letmein-4321;Petr;Petr;Петр;Petrov;Petrov;Петров;Text;Text;Текст;79 111 111 119;2008;#123123 15.07.2020;media\doctor-full.jpg
109;PrimerPrimerov@mail.ru;Letmein-4321;Primer;Primer;Пример;Primerov;Primerov;Примеров;Text;Text;Текст;79 111 111 120;2009;#123123 15.07.2020;media\doctor-full.jpg
